transaction_id,unique_product_id,customer_id,transaction_date,online_order,order_status,list_price,standard_cost,profit
93,P03351211999,3470,2017-11-28,1,Approved,1311.44,1167.18,144.26
94,P08631222005,1,2017-12-23,0,Approved,235.63,125.07,110.56
95,P04511221993,757,2017-02-26,0,Approved,441.49,84.99,356.5
96,P00151222011,1778,2017-02-21,0,Approved,1403.5,954.82,448.67999999999995
97,P08034122004,211,2017-05-31,1,Approved,1073.07,933.84,139.2299999999999
98,P04922222003,333,2017-06-23,0,Approved,533.51,400.13,133.38
99,P09551232003,32,2017-03-26,0,Approved,569.56,528.43,41.129999999999995
100,P00011221998,119,2017-07-31,0,Approved,478.16,298.72,179.44
101,P01841322015,2347,2017-07-27,0,Approved,1148.64,689.18,459.46000000000015
102,P00451322011,2353,2017-04-14,0,Approved,1129.13,677.48,451.6500000000001
103,P03351211992,788,2017-11-12,0,Approved,1311.44,1167.18,144.26
104,P07851232004,1468,2017-09-12,0,Approved,1765.3,709.48,1055.82
105,P08964232013,821,2017-10-26,0,Approved,1362.99,57.74,1305.25
106,P07021322015,2489,2017-02-15,0,Approved,495.72,297.43,198.29000000000002
107,P07941222003,2710,2017-12-22,0,Approved,1555.58,818.01,737.5699999999999
108,P02661221993,947,2017-10-11,1,Approved,1992.93,762.63,1230.3000000000002
109,P03951232006,1335,2017-03-27,1,Approved,1812.75,582.48,1230.27
110,P03611121995,1076,2017-11-04,0,Approved,945.04,507.58,437.46
111,P00031122015,3320,2017-06-11,1,Approved,71.16,56.93,14.229999999999997
112,P08452221992,779,2017-10-09,0,Approved,792.9,594.68,198.22000000000003
113,P09821321991,3296,2017-06-07,1,Approved,358.39,215.03,143.35999999999999
114,P07554232003,455,2017-10-24,1,Approved,1873.97,863.95,1010.02
115,P07661122005,1779,2017-05-01,0,Approved,642.31,513.85,128.45999999999992
116,P07241222011,2703,2017-11-21,1,Approved,360.4,270.3,90.09999999999997
117,P04232211993,806,2017-03-24,0,Approved,1810.0,1610.9,199.0999999999999
118,P02021212010,22,2017-03-21,0,Approved,1775.81,1580.47,195.33999999999992
119,P06421232005,1591,2017-02-20,0,Approved,1469.44,596.55,872.8900000000001
120,P00021322015,678,2017-06-16,0,Approved,495.72,297.43,198.29000000000002
121,P02552221992,50,2017-12-04,0,Approved,1538.99,829.65,709.34
122,P02412231993,1038,2017-12-01,1,Approved,1777.8,820.78,957.02
123,P03161222015,1453,2017-03-05,1,Approved,752.64,205.36,547.28
124,P09831221997,1339,2017-03-21,0,Approved,795.34,101.58,693.76
125,P02211222013,3382,2017-01-03,1,Approved,575.27,431.45,143.82
126,P05331222003,773,2017-04-01,0,Approved,795.34,101.58,693.76
127,P08422222005,2503,2017-03-16,1,Approved,290.62,215.14,75.48000000000002
128,P02552222016,1057,2017-02-26,0,Approved,1538.99,829.65,709.34
129,P05061212015,1397,2017-06-05,0,Approved,175.89,131.92,43.97
130,P04461222011,2134,2017-09-04,0,Approved,1769.64,108.76,1660.88
131,P09662112002,2403,2017-01-18,1,Approved,1172.78,1043.77,129.01
132,P01261222004,1937,2017-09-28,0,Approved,1231.15,161.6,1069.5500000000002
133,P09361222002,1282,2017-09-02,1,Approved,1065.03,230.09,834.9399999999999
134,P07851231991,2183,2017-05-09,0,Approved,1765.3,709.48,1055.82
135,P08452222006,1788,2017-10-17,0,Approved,792.9,594.68,198.22000000000003
136,P06561222015,1170,2017-04-25,1,Approved,1807.45,778.69,1028.76
137,P00000000,431,2017-09-23,0,Approved,1942.61,333.18,1609.4299999999998
138,P02961222000,1940,2017-08-02,0,Approved,1065.03,230.09,834.9399999999999
139,P03251322000,2073,2017-03-25,0,Cancelled,1179.0,707.4,471.6
140,P01151322016,462,2017-01-01,0,Approved,1274.93,764.96,509.97
141,P01011222002,2728,2017-12-22,0,Approved,1945.43,333.18,1612.25
142,P04611122012,2053,2017-12-25,0,Approved,1289.85,74.51,1215.34
143,P06051312012,2135,2017-01-26,1,Approved,1977.36,1759.85,217.51
144,P09264231991,1217,2017-12-20,0,Approved,1890.39,260.14,1630.25
145,P00722122005,2992,2017-06-07,1,Approved,980.37,234.43,745.94
146,P04112221997,3261,2017-04-06,1,Approved,416.98,312.74,104.24000000000001
147,P06742222005,2748,2017-04-25,1,Approved,544.05,376.84,167.20999999999998
148,P01421212003,3262,2017-01-13,0,Approved,1386.84,1234.29,152.54999999999995
149,P08964231993,788,2017-03-21,0,Approved,1362.99,57.74,1305.25
150,P00932221994,3067,2017-11-21,1,Approved,742.54,667.4,75.13999999999999
151,P03151222003,701,2017-11-11,0,Approved,230.91,173.18,57.72999999999999
152,P09261212000,648,2017-10-16,0,Approved,1415.01,1259.36,155.6500000000001
153,P03731121999,3286,2017-08-19,1,Approved,1793.43,248.82,1544.6100000000001
154,P00321232011,3383,2017-04-06,1,Approved,2091.47,388.92,1702.5499999999997
155,P05643112016,982,2017-11-04,1,Approved,688.63,612.88,75.75
156,P01411332003,676,2017-08-22,1,Approved,1842.92,1105.75,737.1700000000001
157,P00611322015,385,2017-09-15,1,Approved,748.17,448.9,299.27
158,P05061212009,1229,2017-03-01,1,Approved,175.89,131.92,43.97
159,P01064222013,3232,2017-08-16,0,Approved,1466.68,363.25,1103.43
160,P00000000,3300,2017-08-27,0,Approved,1656.86,1479.11,177.75
161,P06952222015,2381,2017-07-10,0,Approved,792.9,594.68,198.22000000000003
162,P07851232004,371,2017-12-11,0,Approved,1765.3,709.48,1055.82
163,P08034122015,2519,2017-05-20,1,Approved,1073.07,933.84,139.2299999999999
164,P01711321996,2264,2017-07-30,0,Approved,1024.66,614.8,409.8600000000001
165,P00321232005,2637,2017-10-25,1,Approved,2091.47,388.92,1702.5499999999997
166,P07851232004,3262,2017-11-27,0,Approved,1765.3,709.48,1055.82
167,P09041122005,3177,2017-04-26,0,Approved,363.01,290.41,72.59999999999997
168,P08751321997,2267,2017-02-02,0,Approved,1179.0,707.4,471.6
169,P09711232004,456,2017-05-02,0,Approved,202.62,151.96,50.66
170,P00631322003,404,2017-10-16,1,Approved,227.88,136.73,91.15
171,P10042221991,3121,2017-10-22,0,Approved,1036.59,206.35,830.2399999999999
172,P05522231991,2365,2017-04-11,1,Approved,1894.19,598.76,1295.43
173,P10042221991,2528,2017-11-16,0,Approved,1036.59,206.35,830.2399999999999
174,P01064221994,3151,2017-12-17,0,Approved,1466.68,363.25,1103.43
175,P02552222016,3241,2017-12-23,0,Approved,1538.99,829.65,709.34
176,P07461222003,1335,2017-03-30,1,Approved,1228.07,400.91,827.1599999999999
177,P09041122005,2234,2017-04-13,0,Approved,363.01,290.41,72.59999999999997
178,P05631221997,3226,2017-07-25,1,Approved,183.86,137.9,45.96000000000001
179,P06211221993,1365,2017-01-31,0,Approved,478.16,298.72,179.44
180,P02021212010,3349,2017-03-18,1,Approved,1775.81,1580.47,195.33999999999992
181,P01711322011,1002,2017-02-24,0,Approved,1024.66,614.8,409.8600000000001
182,P01641312013,2282,2017-02-18,0,Approved,1661.92,1479.11,182.81000000000017
183,P04611122012,2656,2017-01-07,0,Approved,1289.85,74.51,1215.34
184,P07111331995,2409,2017-07-05,1,Approved,1842.92,1105.75,737.1700000000001
185,P09161122004,1711,2017-11-19,0,Approved,642.31,513.85,128.45999999999992
186,P01711321996,2582,2017-11-08,1,Approved,1024.66,614.8,409.8600000000001
187,P00154232003,1005,2017-07-24,1,Approved,1873.97,863.95,1010.02
188,P00321232012,1597,2017-01-15,1,Approved,2091.47,388.92,1702.5499999999997
189,P05631221993,2713,2017-01-12,1,Approved,183.86,137.9,45.96000000000001
190,P03731122011,1435,2017-11-27,1,Approved,1793.43,248.82,1544.6100000000001
191,P03442332008,1477,2017-06-30,1,Approved,774.53,464.72,309.80999999999995
192,P00051222006,1614,2017-07-15,1,Approved,230.91,173.18,57.72999999999999
193,P01261222009,1254,2017-06-22,1,Approved,1231.15,161.6,1069.5500000000002
194,P02552222011,1423,2017-05-02,0,Approved,1538.99,829.65,709.34
195,P08141211991,276,2017-12-27,0,Approved,586.45,521.94,64.50999999999999
196,P01932331999,1315,2017-12-21,1,Approved,12.01,7.21,4.8
197,P04511221993,591,2017-05-23,1,Approved,441.49,84.99,356.5
198,P07461222014,1017,2017-02-02,0,Approved,1762.96,950.52,812.44
199,P03351211992,2123,2017-06-08,0,Approved,1311.44,1167.18,144.26
200,P05764231993,2889,2017-04-15,1,Approved,1890.39,260.14,1630.25
201,P00022222012,3208,2017-09-05,1,Approved,533.51,400.13,133.38
202,P02343112006,2406,2017-02-26,1,Approved,688.63,612.88,75.75
203,P06742222005,2041,2017-07-29,0,Approved,544.05,376.84,167.20999999999998
204,P08141211991,1598,2017-07-03,1,Approved,586.45,521.94,64.50999999999999
205,P05831222015,1842,2017-05-27,1,Approved,912.52,141.4,771.12
206,P00551322005,141,2017-05-05,0,Approved,1129.13,677.48,451.6500000000001
207,P09451232013,1321,2017-09-09,0,Approved,1635.3,993.66,641.64
208,P05131322012,183,2017-05-21,0,Approved,2005.66,1203.4,802.26
209,P05961212003,2591,2017-09-22,0,Approved,1415.01,1259.36,155.6500000000001
210,P06311221992,3356,2017-04-12,1,Approved,1483.2,99.59,1383.6100000000001
211,P04031322006,766,2017-05-07,1,Approved,1458.17,874.9,583.2700000000001
212,P08021232005,1596,2017-01-13,0,Approved,1469.44,596.55,872.8900000000001
213,P08241322015,520,2017-12-14,0,Approved,1148.64,689.18,459.46000000000015
214,P04611122012,868,2017-03-22,1,Approved,1289.85,74.51,1215.34
215,P07851232015,2999,2017-09-30,0,Approved,1765.3,709.48,1055.82
216,P07241222016,352,2017-11-29,1,Approved,360.4,270.3,90.09999999999997
217,P07554232004,1140,2017-06-09,0,Approved,1873.97,863.95,1010.02
218,P04022232003,621,2017-04-21,0,Approved,1894.19,598.76,1295.43
219,P00252112010,3307,2017-11-13,0,Approved,590.26,525.33,64.92999999999995
220,P01064222013,1502,2017-04-09,1,Approved,1466.68,363.25,1103.43
221,P03551222016,936,2017-05-08,0,Approved,1403.5,954.82,448.67999999999995
222,P00812212011,939,2017-07-08,1,Approved,1703.52,1516.13,187.38999999999987
223,P00252112010,2698,2017-11-30,0,Approved,590.26,525.33,64.92999999999995
224,P06952221992,579,2017-04-25,1,Approved,792.9,594.68,198.22000000000003
225,P05461222009,2036,2017-03-30,1,Approved,1292.84,13.44,1279.3999999999999
226,P00812211993,3077,2017-03-10,0,Approved,1703.52,1516.13,187.38999999999987
227,P08631222005,369,2017-03-16,1,Approved,235.63,125.07,110.56
228,P01311222013,821,2017-04-04,1,Approved,1163.89,589.27,574.6200000000001
229,P01923122011,2687,2017-03-13,1,Approved,574.64,459.71,114.93
230,P08631222013,681,2017-12-23,1,Approved,235.63,125.07,110.56
231,P04631121999,37,2017-08-12,1,Approved,1793.43,248.82,1544.6100000000001
232,P03011321999,3002,2017-08-04,0,Approved,748.17,448.9,299.27
233,P09264231991,396,2017-09-01,0,Approved,1890.39,260.14,1630.25
234,P07111331995,550,2017-09-01,1,Approved,1842.92,1105.75,737.1700000000001
235,P07742232011,1605,2017-07-02,0,Approved,1240.31,795.1,445.2099999999999
236,P00751212003,2325,2017-08-31,1,Approved,1311.44,1167.18,144.26
237,P02343111993,1420,2017-03-11,1,Approved,688.63,612.88,75.75
238,P01261221994,3099,2017-10-08,0,Approved,1231.15,161.6,1069.5500000000002
239,P06131122015,1645,2017-10-01,1,Approved,71.16,56.93,14.229999999999997
240,P02111231991,546,2017-11-23,0,Approved,1071.23,380.74,690.49
241,P08631222003,2885,2017-03-27,1,Approved,235.63,125.07,110.56
242,P05764231998,2740,2017-12-04,0,Approved,1890.39,260.14,1630.25
243,P06311221998,3166,2017-11-13,1,Approved,1483.2,99.59,1383.6100000000001
244,P06361221993,3487,2017-12-20,1,Approved,1992.93,762.63,1230.3000000000002
245,P03351212010,2890,2017-09-22,1,Approved,1311.44,1167.18,144.26
246,P09831222015,3370,2017-01-22,0,Approved,795.34,101.58,693.76
247,P01541122009,3393,2017-01-29,1,Approved,958.74,748.9,209.84000000000003
248,P05764231993,2410,2017-07-21,0,Approved,1890.39,260.14,1630.25
249,P06131122015,3466,2017-02-10,1,Approved,71.16,56.93,14.229999999999997
250,P04861221997,1454,2017-11-25,0,Cancelled,1762.96,950.52,812.44
251,P06311222015,1967,2017-04-11,1,Approved,1483.2,99.59,1383.6100000000001
252,P07851232013,3089,2017-12-03,0,Approved,1765.3,709.48,1055.82
253,P00252112010,3123,2017-12-30,0,Approved,590.26,525.33,64.92999999999995
254,P06711231999,2692,2017-07-26,0,Approved,1071.23,380.74,690.49
255,P06742222005,2801,2017-04-01,1,Cancelled,544.05,376.84,167.20999999999998
256,P01311222011,1580,2017-10-22,1,Approved,1577.53,826.51,751.02
257,P06561222015,352,2017-03-22,0,Approved,1807.45,778.69,1028.76
258,P04922222012,1777,2017-06-15,1,Approved,533.51,400.13,133.38
259,P08751321997,142,2017-07-06,1,Approved,1179.0,707.4,471.6
260,P03151222011,3393,2017-12-28,0,Approved,230.91,173.18,57.72999999999999
261,P01711322009,599,2017-05-09,0,Approved,1024.66,614.8,409.8600000000001
262,P09111221999,1258,2017-01-18,0,Approved,100.35,75.26,25.08999999999999
263,P05331222000,3405,2017-10-22,1,Approved,795.34,101.58,693.76
264,P03811221993,3198,2017-01-30,0,Approved,1577.53,826.51,751.02
265,P02021212010,834,2017-06-26,0,Approved,1775.81,1580.47,195.33999999999992
266,P04461222011,3467,2017-11-07,1,Approved,1769.64,108.76,1660.88
267,P06952222014,3436,2017-08-13,1,Approved,792.9,594.68,198.22000000000003
268,P06831222010,1516,2017-08-27,0,Approved,1636.9,44.71,1592.19
269,P01151322013,2833,2017-01-25,1,Approved,1274.93,764.96,509.97
270,P00211222005,2362,2017-02-13,0,Approved,71.49,53.62,17.869999999999997
271,P02721221999,2337,2017-07-11,0,Approved,499.53,388.72,110.80999999999995
272,P00021322004,2149,2017-04-30,1,Approved,358.39,215.03,143.35999999999999
273,P08111221997,2133,2017-05-19,0,Approved,1151.96,649.49,502.47
274,P00631322014,360,2017-05-26,1,Approved,227.88,136.73,91.15
275,P07661122014,2969,2017-02-03,1,Approved,642.31,513.85,128.45999999999992
276,P01811221993,1720,2017-04-28,0,Approved,575.27,431.45,143.82
277,P01841321998,2904,2017-03-23,0,Approved,1148.64,689.18,459.46000000000015
278,P00932221991,754,2017-06-03,0,Approved,742.54,667.4,75.13999999999999
279,P03551222016,1826,2017-04-25,0,Approved,1403.5,954.82,448.67999999999995
280,P09361222016,2487,2017-04-08,0,Approved,1065.03,230.09,834.9399999999999
281,P04031322006,2815,2017-02-18,0,Approved,1458.17,874.9,583.2700000000001
282,P00151222004,541,2017-05-04,0,Approved,1403.5,954.82,448.67999999999995
283,P01641311994,302,2017-03-29,0,Approved,1661.92,1479.11,182.81000000000017
284,P04461222012,2024,2017-10-03,1,Approved,1769.64,108.76,1660.88
285,P04861222014,142,2017-07-27,1,Approved,1762.96,950.52,812.44
286,P05631221993,768,2017-08-07,1,Approved,183.86,137.9,45.96000000000001
287,P03611122012,2147,2017-02-07,1,Approved,1289.85,74.51,1215.34
288,P03611122006,529,2017-11-20,1,Approved,945.04,507.58,437.46
289,P01311221994,825,2017-02-23,0,Approved,1163.89,589.27,574.6200000000001
290,P05522231993,624,2017-04-05,1,Approved,1894.19,598.76,1295.43
291,P03811222011,2302,2017-11-07,0,Approved,1577.53,826.51,751.02
292,P06451312015,3380,2017-10-28,0,Approved,1977.36,1759.85,217.51
293,P00031322007,314,2017-11-19,0,Approved,227.88,136.73,91.15
294,P07941222003,1079,2017-08-25,1,Approved,1555.58,818.01,737.5699999999999
295,P01151322007,1643,2017-01-20,1,Approved,1274.93,764.96,509.97
296,P09111222003,1524,2017-03-14,1,Approved,100.35,75.26,25.08999999999999
297,P01811222013,3205,2017-04-14,1,Approved,575.27,431.45,143.82
298,P01711321996,2860,2017-11-20,1,Approved,1024.66,614.8,409.8600000000001
299,P01311222016,772,2017-05-24,0,Approved,1163.89,589.27,574.6200000000001
300,P00451322004,323,2017-03-25,1,Approved,1129.13,677.48,451.6500000000001
301,P07851231997,2530,2017-03-24,0,Approved,1765.3,709.48,1055.82
302,P04232211999,2426,2017-03-17,1,Approved,1810.0,1610.9,199.0999999999999
303,P04861222014,1883,2017-11-18,0,Approved,1762.96,950.52,812.44
304,P01261222016,2745,2017-04-07,0,Approved,1231.15,161.6,1069.5500000000002
305,P07742232011,2819,2017-01-04,0,Approved,1240.31,795.1,445.2099999999999
306,P02531322015,792,2017-12-13,0,Approved,2005.66,1203.4,802.26
307,P03551222016,923,2017-04-20,0,Approved,1403.5,954.82,448.67999999999995
308,P00722122004,3353,2017-07-21,0,Approved,980.37,234.43,745.94
309,P06831222010,3394,2017-11-27,0,Approved,1636.9,44.71,1592.19
310,P07554232004,3213,2017-10-21,0,Approved,1873.97,863.95,1010.02
311,P07761222011,3260,2017-03-07,0,Approved,1769.64,108.76,1660.88
312,P00151222016,1015,2017-12-04,0,Approved,1403.5,954.82,448.67999999999995
313,P08111221999,2266,2017-01-25,0,Approved,1151.96,649.49,502.47
314,P00631322007,58,2017-08-20,1,Approved,227.88,136.73,91.15
315,P04022232003,3118,2017-12-18,1,Approved,1894.19,598.76,1295.43
316,P06211222015,1414,2017-08-01,0,Approved,478.16,298.72,179.44
317,P09041121999,2202,2017-06-19,1,Approved,363.01,290.41,72.59999999999997
318,P03251221992,2144,2017-05-31,1,Approved,642.7,211.37,431.33000000000004
319,P06561222002,1033,2017-10-09,1,Approved,1807.45,778.69,1028.76
320,P01541122005,2157,2017-06-20,1,Approved,958.74,748.9,209.84000000000003
321,P03611122008,1097,2017-01-23,0,Approved,945.04,507.58,437.46
322,P01261222004,2757,2017-04-19,0,Approved,1231.15,161.6,1069.5500000000002
323,P06742222005,87,2017-11-08,1,Approved,544.05,376.84,167.20999999999998
324,P08731222010,2049,2017-10-11,0,Approved,1636.9,44.71,1592.19
325,P06211221992,952,2017-11-14,1,Approved,478.16,298.72,179.44
326,P05522231993,1745,2017-01-20,0,Approved,1894.19,598.76,1295.43
327,P00151222016,40,2017-05-09,1,Approved,1403.5,954.82,448.67999999999995
328,P09821321991,372,2017-10-17,1,Approved,358.39,215.03,143.35999999999999
329,P07941222003,1627,2017-08-11,1,Approved,1555.58,818.01,737.5699999999999
330,P00151222012,444,2017-11-15,0,Approved,1403.5,954.82,448.67999999999995
331,P06141211991,217,2017-05-23,0,Approved,586.45,521.94,64.50999999999999
332,P07111332006,1656,2017-08-02,1,Approved,1842.92,1105.75,737.1700000000001
333,P05832222001,485,2017-12-16,1,Approved,1280.28,829.51,450.77
334,P08642331999,2252,2017-02-21,0,Approved,774.53,464.72,309.80999999999995
335,P09551232003,3103,2017-11-01,0,Approved,569.56,528.43,41.129999999999995
336,P05522232003,506,2017-10-05,1,Approved,1894.19,598.76,1295.43
337,P08241322013,1615,2017-10-30,0,Approved,1148.64,689.18,459.46000000000015
338,P03251222003,1881,2017-01-02,1,Approved,642.7,211.37,431.33000000000004
339,P06561222002,2903,2017-12-04,1,Approved,1807.45,778.69,1028.76
340,P04922222012,1274,2017-12-16,0,Approved,533.51,400.13,133.38
341,P00151222005,1443,2017-08-27,0,Approved,1403.5,954.82,448.67999999999995
342,P02412232011,2091,2017-03-14,0,Approved,1777.8,820.78,957.02
343,P06141211991,1478,2017-03-11,0,Approved,586.45,521.94,64.50999999999999
344,P00751211992,1493,2017-07-09,0,Approved,1311.44,1167.18,144.26
345,P08452221992,1614,2017-03-21,0,Approved,792.9,594.68,198.22000000000003
346,P04861222014,476,2017-07-19,0,Approved,1762.96,950.52,812.44
347,P01641311994,1777,2017-04-12,1,Approved,1661.92,1479.11,182.81000000000017
348,P04031322006,940,2017-08-11,0,Approved,1458.17,874.9,583.2700000000001
349,P10042221991,2930,2017-10-20,1,Approved,1036.59,206.35,830.2399999999999
350,P02721221999,2354,2017-10-26,1,Approved,499.53,388.72,110.80999999999995
351,P05911231993,1582,2017-06-15,0,Approved,1061.56,733.58,327.9799999999999
352,P03442331995,416,2017-06-19,0,Approved,774.53,464.72,309.80999999999995
353,P01841322015,1013,2017-04-20,1,Approved,1148.64,689.18,459.46000000000015
354,P08314232013,533,2017-11-14,0,Approved,2083.94,675.03,1408.91
355,P08252221993,968,2017-03-22,1,Approved,1538.99,829.65,709.34
356,P08841221998,727,2017-07-09,1,Approved,1198.46,381.1,817.36
357,P07742232011,1160,2017-04-13,0,Approved,1240.31,795.1,445.2099999999999
358,P00631321991,3425,2017-12-06,1,Approved,227.88,136.73,91.15
